Kategoria,Autor,Tytuł książki/rozdziału,Tytuł publikacji zbiorowej,Wydawnictwo,Rok wydania,Liczba stron,zdjęcie okładki
historia sztuki,"Skubiszewski, Piotr",Rzeźba nagrobna Wita Stwosza,,PIW,1957,120,https://www.dropbox.com/s/7m13uei8rf8y40p/rze%C5%BAba%20nagrobna.JPG
historia sztuki,"Skubiszewski, Piotr",Przedmowa,"Sztuka i ideologia XIV wieku. Materiały Sympozjum Komitetu Nauk o Sztuce Polskiej Akademii Nauk, Warszawa, 29 i 30 listopada 1973",PWN,1975,5,https://www.dropbox.com/s/9irxamgfswyep85/sztuka%20i%20ideologia.JPG
historia sztuki,"Skubiszewski, Piotr",Romańska płyta nagrobna w Trzemesznie i symbolika nagrobków z przedstawieniem krzyża procesyjnego.,,Wydawnictwo UAM,1976,29,https://www.dropbox.com/s/ek3hdrnwsd3dzq0/czara%20w%C5%82oc%C5%82awska.JPG
"geografia, turystyka, zabytki","Skubiszewski, Piotr","Katalog zabytków sztuki w Polsce. Dawne województwo poznańskie, z. 10, Dawny powiat kościański.",,Instytut Sztuki Polskiej Akademii Nauk,1980,124,https://www.dropbox.com/s/q401zyu8m0e9k97/dawny%20powiat.JPG
"geografia, turystyka, zabytki","Skubiszewski, Piotr","Katalog zabytków sztuki w Polsce, Seria Nowa, t. 2, Województwo elbląskie, z. 1, Braniewo, Frombork, Orneta i okolice.",,Instytut Sztuki Polskiej Akademii Nauk,1980,224,https://www.dropbox.com/s/6wa1fy3olfvm389/braniewo%20frombork.JPG
"historia, średniowiecze","Małowist, Marian",Kaffa w drugiej połowie XV-go wieku.,Sprawozdanie z posiedzeń Towarszystwa Naukowego Warszawskiego.,Towarzystow Naukowe Warszawskie,1939,22,https://www.dropbox.com/lightbox/home/okładki
historia,"Małowist, Marian",Konkwistadorzy portugalscy.,,PIW,1976,320,https://www.dropbox.com/s/yvtg1awrivnyk99/konkwistadorzy%20portugalscy.JPG
"geografia, turystyka","Lengauer, Włodzimierz",Grecja. Mały przewodnik turystyczny,,KAW,1981,141,https://www.dropbox.com/s/lvnf4m43rficscf/Grecja%20ma%C5%82y.JPG
historia antyczna,"Bieżuńska-Małowist, Iza",Zdzisław Zmigryder Konopka 1897-1939.,W kręgu wielkich humanistów.,PWN,1991,12,https://www.dropbox.com/s/b5h0zi2q9z4xsnb/w%20kr%C4%99gu%20wielkich.JPG
"historia antyczna, archeologia","Lengauer, Włodzimierz",Tadeusz Wałek-Czernecki 1889-1949,W kręgu wielkich humanistów,PWN,1991,19,https://www.dropbox.com/s/b5h0zi2q9z4xsnb/w%20kr%C4%99gu%20wielkich.JPG
"historia, średniowiecze",Bieżuńska-Małowist Iza,Handel lewantyński w późnym średniowieczu i w początkach czasów nowożytnych.,Europa i jej ekspansja XIV-XVII w.,PWN,1993,16,https://www.dropbox.com/s/9benfijbo3jtci3/europa%20i%20jej.JPG
historia sztuki,"Skubiszewski, Piotr",Wit Stwosz,,Arkady,1985,15,https://www.dropbox.com/s/geuleyr5zr27n93/Wit%20Stwosz.JPG
historia,"Małowist, Marian",Niewolnictwo,,PIW,1987,429,https://www.dropbox.com/s/hjbh3ce73p3l4rp/niewolnictwo.JPG
historia antyczna,"Lengauer, Włodzimierz",Isonomia. Pojęcie równości w greckich koncepcjach politycznych. Od Homera do końca V wieku p.n.e.,,Wydawnictwa Uniwersytetu Warszawskiego,1988,162,https://www.dropbox.com/s/lvnf4m43rficscf/Grecja%20ma%C5%82y.JPG
historia sztuki,"Skubiszewski, Piotr",Malarstwo karolińskie i przedromańskie,,Wydawnictwo Artystyczne i Filmowe,1973,338,https://www.dropbox.com/s/yvtg1awrivnyk99/konkwistadorzy%20portugalscy.JPG
historia sztuki,"Skubiszewski, Piotr",Najstarsze dzieje wici półpalmetowej na Wschodzie,Sztuka i historia. Księga pamiątkowa ku czci profesora Michała Walickiego,Wydawnictwo Artystyczne i Filmowe,1966,5,https://www.dropbox.com/s/de1g4wakgwkmfb0/sztuka%20i%20historia.JPG